iter	Passed	Remaining
620	3380	51063
621	3386	51062
622	3392	51067
623	3398	51069
624	3405	51076
625	3410	51074
626	3416	51071
627	3422	51072
628	3428	51074
629	3434	51076
630	3439	51071
631	3445	51077
632	3451	51075
633	3457	51079
634	3463	51078
635	3469	51079
636	3475	51079
637	3481	51081
638	3487	51085
639	3492	51083
640	3498	51086
641	3505	51096
642	3511	51095
643	3517	51097
644	3523	51099
645	3529	51103
646	3535	51105
647	3540	51096
648	3546	51103
649	3552	51107
650	3558	51109
651	3565	51113
652	3570	51113
653	3576	51114
654	3583	51122
655	3589	51125
656	3594	51114
657	3599	51106
658	3605	51105
659	3611	51107
660	3617	51108
661	3623	51113
662	3629	51114
663	3635	51114
664	3641	51116
665	3647	51118
666	3653	51117
667	3659	51117
668	3664	51115
669	3671	51123
670	3676	51120
671	3682	51120
672	3688	51119
673	3694	51115
674	3700	51121
675	3706	51122
676	3712	51125
677	3718	51128
678	3724	51134
679	3730	51135
680	3737	51139
681	3742	51138
682	3748	51139
683	3754	51134
684	3760	51136
685	3766	51137
686	3771	51131
687	3777	51131
688	3783	51125
689	3788	51116
690	3794	51114
691	3799	51102
692	3805	51107
693	3810	51100
694	3816	51096
695	3822	51096
696	3827	51090
697	3833	51082
698	3838	51079
699	3844	51076
700	3850	51074
701	3855	51069
702	3861	51070
703	3867	51066
704	3873	51069
705	3878	51063
706	3884	51063
707	3890	51058
708	3895	51044
709	3900	51032
710	3906	51031
711	3910	51016
712	3916	51017
713	3921	51007
714	3927	51004
715	3932	50990
716	3938	50988
717	3943	50986
718	3948	50972
719	3954	50968
720	3960	50966
721	3965	50961
722	3971	50963
723	3977	50961
724	3983	50960
725	3989	50959
726	3995	50962
727	4001	50960
728	4006	50953
729	4012	50953
730	4017	50935
731	4022	50932
732	4028	50932
733	4034	50928
734	4039	50923
735	4045	50918
736	4051	50916
737	4056	50913
738	4062	50913
739	4068	50915
740	4074	50917
741	4080	50916
742	4086	50908
743	4091	50906
744	4097	50900
745	4103	50898
746	4108	50894
747	4114	50893
748	4119	50881
749	4125	50877
750	4130	50871
751	4136	50866
752	4140	50852
753	4146	50850
754	4152	50847
755	4158	50845
756	4164	50846
757	4169	50842
758	4175	50839
759	4181	50836
760	4186	50826
761	4191	50816
762	4197	50811
763	4203	50811
764	4208	50806
765	4214	50800
766	4218	50784
767	4224	50786
768	4230	50783
769	4235	50773
770	4241	50771
771	4247	50772
772	4253	50766
773	4258	50760
774	4264	50757
775	4270	50758
776	4275	50754
777	4281	50751
